id;name;url;regular_price;promo_price;brand
81436;Сыр творожный Виолетта сливочный 70%, 400г;https://online.metro-cc.ru/products/violetta-bez-zamenitelya-molochnyh-zhirov-400-g;296.0;;ВИОЛЕТТА
632053;Сыр Cheese Gallery Пармезан твердый 32%, 175г;https://online.metro-cc.ru/products/cheese-gallery-selected-collection-parmezan-175g-bzmzh;369.0;269.0;CHEESE GALLERY
533062;Сыр Cheese Gallery Чеддер красный полутвердый нарезка 50%, 150г;https://online.metro-cc.ru/products/cheese-gallery-chedder-krasnyj-narezka-45-150g-bzmzh;229.0;169.0;CHEESE GALLERY
40137;Сыр Ламбер Классический полутвердый 50%, ~1кг;https://online.metro-cc.ru/products/lamber-v-bochonke-1kg-bzmzh;999.0;;ЛАМБЕР
390227;Сыр Ламбер полутвердый 50%, 230г;https://online.metro-cc.ru/products/lamber-50230g-bzmzh;309.0;;ЛАМБЕР
121162;Сыр Natura сливочный легкий полутвердый 16%, 200г;https://online.metro-cc.ru/products/200g-30-natura-slivochnyj-legkij-bzmzh;246.0;259.0;NATURA
220191;Сыр творожный Савушкин продукт Сливочный 65%, 2.4кг;https://online.metro-cc.ru/products/24kg-syr-tvorozhnyy-65-savushkin-produkt-bzmzh;1.439;;САВУШКИН ПРОДУКТ
510982;Сыр Dolce Пармезан твердый тертый, 150г;https://online.metro-cc.ru/products/parmezan-tertyj-dolce-150g-bzmzh;299.0;;DOLCE
13270;Сыр Cooking Кремчиз мягкий 70%, 5.5кг;https://online.metro-cc.ru/products/cooking-kremchiz-55kg-bzmzh;3.519;;COOKING
208122;Сыр Ламбер полутвердый 50%, ~500г;https://online.metro-cc.ru/products/500g-syr-50-lamber-bzmzh;999.0;;ЛАМБЕР
133361;Сыр Брест-Литовск Тильзитер полутвердый 45%, 200г;https://online.metro-cc.ru/products/syr-tilziter-brest-litovsk-45-200g-bzmzh;196.0;179.0;БРЕСТ-ЛИТОВСК
13289;Сыр Cooking Кремчиз мягкий 70%, 11кг;https://online.metro-cc.ru/products/cooking-kremchiz-11kg-bzmzh;6.599;;COOKING
621667;METRO Chef Сыр Тильзитер полутвердый нарезка 45%, 500г;https://online.metro-cc.ru/products/metro-chef-tilziter-narezka-45-500g;519.0;;METRO CHEF
516315;Сыр Natura сливочный полутвердый 45%, 200г;https://online.metro-cc.ru/products/natura-slivochnyj-200g-bzmzh;189.0;199.0;NATURA
534735;Сыр творожный Hochland сливочный 60%, 220г;https://online.metro-cc.ru/products/hochland-220g-bzmzh;199.0;209.0;HOCHLAND
238523;Сыр Laime Diamond Пармезан твердый 40%, 180г;https://online.metro-cc.ru/products/syr-parmezan-laime-diamond-40-180g;519.0;;LAIME
518578;Сыр Bonfesto Моцарелла для пиццы 40%, 1кг;https://online.metro-cc.ru/products/mocarella-dlya-piccy-bonfesto-40-1kg-bzmzh;779.0;;BONFESTO
235350;METRO Chef Сыр творожный 70%, 2.2кг;https://online.metro-cc.ru/products/metro-chef-syr-tvorozhnyy-70-22kg;1.249;;METRO CHEF
214937;Сыр Natura сливочный полутвердый 45%, 1кг;https://online.metro-cc.ru/products/1kg-syr-slivochnyy-45-natura-bzmzh;949.0;999.0;NATURA
518582;Сыр Bonfesto Маскарпоне мягкий 78%, 500г;https://online.metro-cc.ru/products/maskarpone-bonfesto-78-500-g-bzmzh;559.0;529.0;BONFESTO
211829;Сыр творожный Bonfesto 70%, 400г;https://online.metro-cc.ru/products/400g-syr-tvorozhnyy-70-bonfesto-bzmzh;309.0;259.0;BONFESTO
639888;Сыр творожный President Professionnel Cream Cheese сливочный 65%, 2.2кг;https://online.metro-cc.ru/products/president-22kg-bzmzh;1.619;;PRESIDENT PROFESSIONNEL
76002;Сыр Брест-Литовск Российский полутвердый 50%, 200г;https://online.metro-cc.ru/products/art-76002;187.0;;БРЕСТ-ЛИТОВСК
116702;METRO Chef Сыр для пиццы Моцарелла 45%, 1.2кг;https://online.metro-cc.ru/products/1200g-45-metro-chef-mocarella-d-pic-bzmzh;999.0;;METRO CHEF
247930;Сыр творожный Hochland Professional Cremette 65%, 1кг;https://online.metro-cc.ru/products/1kg-syr-tvopozh-65-hochland-cremette-professional-gost-bzmzh;809.0;;HOCHLAND
621666;METRO Chef Сыр Маасдам полутвердый нарезка 45%, 500г;https://online.metro-cc.ru/products/metro-chef-maasdam-narezka-45-500g;699.0;;METRO CHEF
574685;Сыр Laime Пармезан твердый 40%, ~1.1кг;https://online.metro-cc.ru/products/laime-parmezan-40-11kg-bzmzh;2.089;;LAIME
276138;Сыр Galbani Моцарелла Maxi рассольный 45%, 250г;https://online.metro-cc.ru/products/mocarella-galbani-maxi-250-g-bzmzh;319.0;339.0;GALBANI
621731;METRO Chef Сыр Гауда 48%, ~2.5кг;https://online.metro-cc.ru/products/gauda-48-metro-chef-vesovoj;779.0;;METRO CHEF
